spellName,school,subschool,descriptor,spellLevel,castTime,spellComponents,range,area,effect,target,duration,savingThrow,spellResistance,description,reference,full_text,shortDescription
Holy Smite,evocation,,good,"cleric/oracle 4, inquisitor 4",1 standard action,"V, S",medium (100 ft. + 10 ft./level),20-ft.-radius burst,,,instantaneous (1 round); see text,Will partial; see text,yes,"<p>You draw down holy power to smite your enemies. Only evil and neutral creatures are harmed by the spell; good creatures are unaffected.</p><p>The spell deals 1d8 points of damage per two caster levels (maximum 5d8) to each evil creature in the area (or 1d6 points of damage per caster level, maximum 10d6, to an evil outsider) and causes it to become blinded for 1 round. A successful Will saving throw reduces damage to half and negates the blinded effect.</p><p>The spell deals only half damage to creatures who are neither good nor evil, and they are not blinded. Such a creature can reduce that damage by half (down to one-quarter of the roll) with a successful Will save.</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Holy Smite</p><div style=""clear: both;""></div></div><div><h5><b>School </b>evocation [good]; <b>Level </b>cleric/oracle 4, inquisitor 4</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/><div><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V, S</h5></div><hr/><div><h5><b>EFFECT</b></h5></div><hr/><div><h5><b>Range </b>medium (100 ft. + 10 ft./level)</h5><h5><b>Area </b>20-ft.-radius burst</h5><h5><b>Duration </b>instantaneous (1 round); see text</h5><h5><b>Saving Throw </b>Will partial; see text; <b>Spell Resistance </b>yes</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>You draw down holy power to smite your enemies. Only evil and neutral creatures are harmed by the spell; good creatures are unaffected.</p><p>The spell deals 1d8 points of damage per two caster levels (maximum 5d8) to each evil creature in the area (or 1d6 points of damage per caster level, maximum 10d6, to an evil outsider) and causes it to become blinded for 1 round. A successful Will saving throw reduces damage to half and negates the blinded effect.</p><p>The spell deals only half damage to creatures who are neither good nor evil, and they are not blinded. Such a creature can reduce that damage by half (down to one-quarter of the roll) with a successful Will save.</p></h4><h5><b>Mythic: </b>The damage dealt to evil outsiders increases to 1d10 points of damage per caster level (maximum 10d10) and the damage dealt to other evil creatures increases to 1d12 points of damage per 2 caster levels (maximum 5d12). The duration that creatures in the area are blinded increases to 2 rounds. On a successful save, an evil creature is blinded for 1 round.</h5></div>", Harms and possibly blinds evil creatures (1d8 damage/2 levels).
Holy Sword,evocation,,good,paladin 4,1 standard action,"V, S",touch,,,melee weapon touched,1 round/level,none,no,"<p>This spell allows you to channel holy power into your sword, or any other melee weapon you choose. The weapon acts as a <i>+5 holy weapon</i> (+5 enhancement bonus on attack and damage rolls, extra 2d6 damage against evil opponents). It also emits a <i><i>magic circle</i> against evil</i> effect (as the spell). If the <i>magic circle</i> ends, the sword creates a new one on your turn as a free action. The spell is automatically canceled 1 round after the weapon leaves your hand.</p><p>You cannot have more than one <i>holy sword</i> at a time.</p><p>If this spell is cast on a magic weapon, the powers of the spell supercede any that the weapon normally has, rendering the normal enhancement bonus and powers of the weapon inoperative for the duration of the spell. This spell is not cumulative with <i>bless weapon</i> or any other spell that might modify the weapon in any way. This spell does not work on artifacts. A masterwork weapon's bonus to attack does not stack with an enhancement bonus to attack.</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Holy Sword</p><div style=""clear: both;""></div></div><div><h5><b>School </b>evocation [good]; <b>Level </b>paladin 4</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/><div><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V, S</h5></div><hr/><div><h5><b>EFFECT</b></h5></div><hr/><div><h5><b>Range </b>touch</h5><h5><b>Targets </b>melee weapon touched</h5><h5><b>Duration </b>1 round/level</h5><h5><b>Saving Throw </b>none; <b>Spell Resistance </b>no</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This spell allows you to channel holy power into your sword, or any other melee weapon you choose. The weapon acts as a <i>+5 holy weapon</i> (+5 enhancement bonus on attack and damage rolls, extra 2d6 damage against evil opponents). It also emits a <i><i>magic circle</i> against evil</i> effect (as the spell). If the <i>magic circle</i> ends, the sword creates a new one on your turn as a free action. The spell is automatically canceled 1 round after the weapon leaves your hand.</p><p>You cannot have more than one <i>holy sword</i> at a time.</p><p>If this spell is cast on a magic weapon, the powers of the spell supercede any that the weapon normally has, rendering the normal enhancement bonus and powers of the weapon inoperative for the duration of the spell. This spell is not cumulative with <i>bless weapon</i> or any other spell that might modify the weapon in any way. This spell does not work on artifacts. A masterwork weapon's bonus to attack does not stack with an enhancement bonus to attack.</p></h4></div>"," Weapon becomes +5, deals +2d6 damage against evil."
Holy Word,evocation,,"good, sonic","cleric/oracle 7, inquisitor 6",1 standard action,V,40 ft.,nongood creatures in a 40-ft.-radius spread centered on you,,,instantaneous,Will partial,yes,"<p>Any nongood creature within the area of a <i>holy word</i> spell suffers the following ill effects.</p>   <table border ='1'><tr><th>HD</th><th>Effect</th></tr><tr><td>Equal to caster level</td><td>Deafened</td></tr><tr><td>Up to caster level -1</td><td>Blinded, deafened</td></tr><tr><td>Up to caster level -5</td><td>Paralyzed, blinded, deafened</td></tr><tr><td>Up to caster level -10</td><td>Killed, paralyzed, blinded, deafened</td></tr></table>   The effects are cumulative and concurrent. A successful Will save reduces or eliminates these effects. Creatures affected by multiple effects make only one save and apply the result to all the effects.</p><p><i>Deafened</i>: The creature is deafened for 1d4 rounds. Save negates.</p><p><i>Blinded</i>: The creature is blinded for 2d4 rounds. Save reduces the blinded effect to 1d4 rounds.</p><p><i>Paralyzed</i>: The creature is paralyzed and helpless for 1d10 minutes. Save reduces the paralyzed effect to 1 round.</p><p><i>Killed</i>: Living creatures die. Undead creatures are destroyed. Save negates. If the save is successful, the creature instead takes 3d6 points of damage + 1 point per caster level (maximum +25).</p><p>Furthermore, if you are on your home plane when you cast this spell, nongood extraplanar creatures within the area are instantly banished back to their home planes. Creatures so banished cannot return for at least 24 hours. This effect takes place regardless of whether the creatures hear the <i>holy word</i> or not. The banishment effect allows a Will save (at a -4 penalty) to negate.</p><p>Creatures whose HD exceed your caster level are unaffected by <i>holy word</i>.</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Holy Word</p><div style=""clear: both;""></div></div><div><h5><b>School </b>evocation [good, sonic]; <b>Level </b>cleric/oracle 7, inquisitor 6</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/><div><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V</h5></div><hr/><div><h5><b>EFFECT</b></h5></div><hr/><div><h5><b>Range </b>40 ft.</h5><h5><b>Area </b>nongood creatures in a 40-ft.-radius spread centered on you</h5><h5><b>Duration </b>instantaneous</h5><h5><b>Saving Throw </b>Will partial; <b>Spell Resistance </b>yes</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>Any nongood creature within the area of a <i>holy word</i> spell suffers the following ill effects.</p>   <table border ='1'><tr><th>HD</th><th>Effect</th></tr><tr><td>Equal to caster level</td><td>Deafened</td></tr><tr><td>Up to caster level -1</td><td>Blinded, deafened</td></tr><tr><td>Up to caster level -5</td><td>Paralyzed, blinded, deafened</td></tr><tr><td>Up to caster level -10</td><td>Killed, paralyzed, blinded, deafened</td></tr></table>   The effects are cumulative and concurrent. A successful Will save reduces or eliminates these effects. Creatures affected by multiple effects make only one save and apply the result to all the effects.</p> <p><i>Deafened</i>: The creature is deafened for 1d4 rounds. Save negates.</p><p><i>Blinded</i>: The creature is blinded for 2d4 rounds. Save reduces the blinded effect to 1d4 rounds.</p><p><i>Paralyzed</i>: The creature is paralyzed and helpless for 1d10 minutes. Save reduces the paralyzed effect to 1 round.</p><p><i>Killed</i>: Living creatures die. Undead creatures are destroyed. Save negates. If the save is successful, the creature instead takes 3d6 points of damage + 1 point per caster level (maximum +25).</p><p>Furthermore, if you are on your home plane when you cast this spell, nongood extraplanar creatures within the area are instantly banished back to their home planes. Creatures so banished cannot return for at least 24 hours. This effect takes place regardless of whether the creatures hear the <i>holy word</i> or not. The banishment effect allows a Will save (at a -4 penalty) to negate.</p><p>Creatures whose HD exceed your caster level are unaffected by <i>holy word</i>.</p></h4></div>"," Kills, paralyzes, blinds, or deafens nongood subjects."
Horrid Wilting,necromancy,,,"sorcerer/wizard 8, witch 8, shaman 8",1 standard action,"V, S, M/DF (a bit of sponge)",long (400 ft. + 40 ft./level),,,"living creatures, no two of which can be more than 60 ft. apart",instantaneous,Fortitude half,yes,"<p>This spell evaporates moisture from the body of each subject living creature, causing flesh to wither and crack and crumble to dust. This deals 1d6 points of damage per caster level (maximum 20d6). This spell is especially devastating to water elementals and plant creatures, which instead take 1d8 points of damage per caster level (maximum 20d8).</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Horrid Wilting</p><div style=""clear: both;""></div></div><div><h5><b>School </b>necromancy; <b>Level </b>sorcerer/wizard 8, witch 8, shaman 8</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/><div><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V, S, M/DF (a bit of sponge)</h5></div><hr/><div><h5><b>EFFECT</b></h5></div><hr/><div><h5><b>Range </b>long (400 ft. + 40 ft./level)</h5><h5><b>Targets </b>living creatures, no two of which can be more than 60 ft. apart</h5><h5><b>Duration </b>instantaneous</h5><h5><b>Saving Throw </b>Fortitude half; <b>Spell Resistance </b>yes</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This spell evaporates moisture from the body of each subject living creature, causing flesh to wither and crack and crumble to dust. This deals 1d6 points of damage per caster level (maximum 20d6). This spell is especially devastating to water elementals and plant creatures, which instead take 1d8 points of damage per caster level (maximum 20d8).</p></h4></div>", Deals 1d6/level damage within 30 ft.
Hypnotic Pattern,illusion,pattern,mind-affecting,"bard 2, sorcerer/wizard 2, psychic 2, mesmerist 2",1 standard action,"V (bard only), S, M (a stick of incense or a crystal rod); see text",medium (100 ft. + 10 ft./level),,colorful lights in a 10-ft.-radius spread,,Concentration + 2 rounds,Will negates,yes,"<p>A twisting pattern of subtle, shifting colors weaves through the air, fascinating creatures within it. Roll 2d4 and add your caster level (maximum 10) to determine the total number of HD of creatures affected. Creatures with the fewest HD are affected first; and, among creatures with equal HD, those who are closest to the spell's point of origin are affected first. HD that are not sufficient to affect a creature are wasted. Affected creatures become fascinated by the pattern of colors. Sightless creatures are not affected.</p><p>A wizard or sorcerer need not utter a sound to cast this spell, but a bard must perform as a verbal component.</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Hypnotic Pattern</p><div style=""clear: both;""></div></div><div><h5><b>School </b>illusion (pattern) [mind-affecting]; <b>Level </b>bard 2, sorcerer/wizard 2, psychic 2, mesmerist 2</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/><div><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V (bard only), S, M (a stick of incense or a crystal rod); see text</h5></div><hr/><div><h5><b>EFFECT</b></h5></div><hr/><div><h5><b>Range </b>medium (100 ft. + 10 ft./level)</h5><h5><b>Effect </b>colorful lights in a 10-ft.-radius spread</h5><h5><b>Duration </b>Concentration + 2 rounds</h5><h5><b>Saving Throw </b>Will negates; <b>Spell Resistance </b>yes</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>A twisting pattern of subtle, shifting colors weaves through the air, fascinating creatures within it. Roll 2d4 and add your caster level (maximum 10) to determine the total number of HD of creatures affected. Creatures with the fewest HD are affected first; and, among creatures with equal HD, those who are closest to the spell's point of origin are affected first. HD that are not sufficient to affect a creature are wasted. Affected creatures become fascinated by the pattern of colors. Sightless creatures are not affected.</p><p>A wizard or sorcerer need not utter a sound to cast this spell, but a bard must perform as a verbal component.</p></h4></div>",Fascinates (2d4 + level) HD of creatures.
Hypnotism,enchantment,compulsion,mind-affecting,"bard 1, sorcerer/wizard 1, witch 1, occultist 1, psychic 1, mesmerist 1",1 round,"V, S",close (25 ft. + 5 ft./2 levels),"several living creatures, no two of which may be more than 30 ft. apart",,,2d4 rounds,Will negates,yes,"<p>Your gestures and droning incantation fascinate nearby creatures, causing them to stop and stare blankly at you.</p><p>In addition, you can use their rapt attention to make your suggestions and requests seem more plausible. Roll 2d4 to see how many total HD of creatures you affect. Creatures with fewer HD are affected before creatures with more HD. Only creatures that can see or hear you are affected, but they do not need to understand you to be fascinated.</p><p>If you use this spell in combat, each target gains a +2 bonus on its saving throw. If the spell affects only a single creature not in combat at the time, the saving throw has a penalty of -2.</p><p>While the subject is fascinated by this spell, it reacts as though it were two steps more friendly in attitude. This allows you to make a single request of the affected creature (provided you can communicate with it). The request must be brief and reasonable. Even after the spell ends, the creature retains its new attitude toward you, but only with respect to that particular request.</p><p>A creature that fails its saving throw does not remember that you enspelled it.</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Hypnotism</p><div style=""clear: both;""></div></div><div><h5><b>School </b>enchantment (compulsion) [mind-affecting]; <b>Level </b>bard 1, sorcerer/wizard 1, witch 1, occultist 1, psychic 1, mesmerist 1</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/><div><h5><b>Casting Time </b>1 round</h5><h5><b>Components </b>V, S</h5></div><hr/><div><h5><b>EFFECT</b></h5></div><hr/><div><h5><b>Range </b>close (25 ft. + 5 ft./2 levels)</h5><h5><b>Area </b>several living creatures, no two of which may be more than 30 ft. apart</h5><h5><b>Duration </b>2d4 rounds (D)</h5><h5><b>Saving Throw </b>Will negates; <b>Spell Resistance </b>yes</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>Your gestures and droning incantation fascinate nearby creatures, causing them to stop and stare blankly at you.</p><p>In addition, you can use their rapt attention to make your suggestions and requests seem more plausible. Roll 2d4 to see how many total HD of creatures you affect. Creatures with fewer HD are affected before creatures with more HD. Only creatures that can see or hear you are affected, but they do not need to understand you to be fascinated.</p><p>If you use this spell in combat, each target gains a +2 bonus on its saving throw. If the spell affects only a single creature not in combat at the time, the saving throw has a penalty of -2.</p><p>While the subject is fascinated by this spell, it reacts as though it were two steps more friendly in attitude. This allows you to make a single request of the affected creature (provided you can communicate with it). The request must be brief and reasonable. Even after the spell ends, the creature retains its new attitude toward you, but only with respect to that particular request.</p><p>A creature that fails its saving throw does not remember that you enspelled it.</p></h4></div>",Fascinates 2d4 HD of creatures.
Ice Storm,evocation,,cold,"druid 4, sorcerer/wizard 4, witch 4, magus 4, bloodrager 4, shaman 4, occultist 4",1 standard action,"V, S, M/DF (dust and water)",long (400 ft. + 40 ft./level),"cylinder (20-ft. radius, 40 ft. high)",,,1 round/level (D),none,yes,"<p>Great magical hailstones pound down upon casting this spell, dealing 3d6 points of bludgeoning damage and 2d6 points of cold damage to every creature in the area. This damage only occurs once, when the spell is cast. For the remaining duration of the spell, heavy snow and sleet rains down in the area. Creatures inside this area take a -4 penalty on Perception skill checks and the entire area is treated as difficult terrain. At the end of the duration, the snow and hail disappear, leaving no aftereffects (other than the damage dealt).</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Ice Storm</p><div style=""clear: both;""></div></div><div><h5><b>School </b>evocation [cold]; <b>Level </b>druid 4, sorcerer/wizard 4, witch 4, magus 4, bloodrager 4, shaman 4, occultist 4</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/><div><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V, S, M/DF (dust and water)</h5></div><hr/><div><h5><b>EFFECT</b></h5></div><hr/><div><h5><b>Range </b>long (400 ft. + 40 ft./level)</h5><h5><b>Area </b>cylinder (20-ft. radius, 40 ft. high)</h5><h5><b>Duration </b>1 round/level (D)</h5><h5><b>Saving Throw </b>none; <b>Spell Resistance </b>yes</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>Great magical hailstones pound down upon casting this spell, dealing 3d6 points of bludgeoning damage and 2d6 points of cold damage to every creature in the area. This damage only occurs once, when the spell is cast. For the remaining duration of the spell, heavy snow and sleet rains down in the area. Creatures inside this area take a -4 penalty on Perception skill checks and the entire area is treated as difficult terrain. At the end of the duration, the snow and hail disappear, leaving no aftereffects (other than the damage dealt).</p></h4><h5><b>Mythic: </b>The bludgeoning damage increases to 4d8 points of damage and the cold damage increases to 3d6 points of damage. The ground in the area is covered in ice and hailstones, acting as though a grease spell were cast on it. Dealing 5 or more points of fire damage to a square melts the ice and hail, negating the grease effect.</h5><h5><b>Augmented (6th)</b>: If you expend two uses of mythic power, one creature in the area is paralyzed (as if by hold person) and gains vulnerability to fire as long as it's paralyzed.</h5></div>",Hail deals 5d6 damage in cylinder 40 ft. across.
Identify,divination,,,"bard 1, sorcerer/wizard 1, alchemist 1, summoner/unchained summoner 1, witch 1, alchemist 1, occultist 1, psychic 1, spiritualist 1, medium 1",1 standard action,"V, S, M (wine stirred with an owl's feather)",60 ft.,cone-shaped emanation,,,3 rounds/level,none,no,"<p>This spell functions as <i>detect magic</i>, except that it gives you a +10 enhancement bonus on Spellcraft checks made to identify the properties and command words of magic items in your possession. This spell does not allow you to identify artifacts.</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Identify</p><div style=""clear: both;""></div></div><div><h5><b>School </b>divination; <b>Level </b>bard 1, sorcerer/wizard 1, alchemist 1, summoner/unchained summoner 1, witch 1, alchemist 1, occultist 1, psychic 1, spiritualist 1, medium 1</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/><div><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V, S, M (wine stirred with an owl's feather)</h5></div><hr/><div><h5><b>EFFECT</b></h5></div><hr/><div><h5><b>Range </b>60 ft.</h5><h5><b>Area </b>cone-shaped emanation</h5><h5><b>Duration </b>3 rounds/level (D)</h5><h5><b>Saving Throw </b>none; <b>Spell Resistance </b>no</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This spell functions as <i>detect magic</i>, except that it gives you a +10 enhancement bonus on Spellcraft checks made to identify the properties and command words of magic items in your possession. This spell does not allow you to identify artifacts.</p></h4></div>",Gives +10 bonus to identify magic items.
Illusory Script,illusion,phantasm,mind-affecting,"bard 3, sorcerer/wizard 3, occultist 3, psychic 3, mesmerist 3",1 minute per page,"V, S, M (lead-based ink worth 50 gp)",touch,,,one touched object weighing no more than 10 lbs.,one day/level,Will negates; see text,yes,"<p>You write instructions or other information on parchment, paper, or any suitable writing material. The <i>illusory script</i> appears to be some form of foreign or magical writing. Only the person (or people) designated by you at the time of the casting can read the writing; it's unintelligible to any other character.</p><p>Any unauthorized creature attempting to read the script triggers a potent illusory effect and must make a saving throw. A successful saving throw means the creature can look away with only a mild sense of disorientation. Failure means the creature is subject to a <i>suggestion</i> implanted in the script by you at the time the <i>illusory script</i> spell was cast. The <i>suggestion</i> lasts only 30 minutes. Typical <i>suggestion</i>s include ""Close the book and leave,"" ""Forget the existence of this note,"" and so forth. If successfully dispelled by <i>dispel magic,</i> the <i>illusory script</i> and its secret message disappear.</p><p>The hidden message can be read by a combination of the <i>true seeing</i> spell with the <i>read magic</i> or <i>comprehend languages</i> spell.</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Illusory Script</p><div style=""clear: both;""></div></div><div><h5><b>School </b>illusion (phantasm) [mind-affecting]; <b>Level </b>bard 3, sorcerer/wizard 3, occultist 3, psychic 3, mesmerist 3, witch 3, alchemist 2, witch 2, inquisitor 2, witch 8</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/><div><h5><b>Casting Time </b>1 minute per page</h5><h5><b>Components </b>V, S, M (lead-based ink worth 50 gp)</h5></div><hr/><div><h5><b>EFFECT</b></h5></div><hr/><div><h5><b>Range </b>touch</h5><h5><b>Targets </b>one touched object weighing no more than 10 lbs.</h5><h5><b>Duration </b>one day/level (D)</h5><h5><b>Saving Throw </b>Will negates; see text; <b>Spell Resistance </b>yes</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>You write instructions or other information on parchment, paper, or any suitable writing material. The <i>illusory script</i> appears to be some form of foreign or magical writing. Only the person (or people) designated by you at the time of the casting can read the writing; it's unintelligible to any other character.</p><p>Any unauthorized creature attempting to read the script triggers a potent illusory effect and must make a saving throw. A successful saving throw means the creature can look away with only a mild sense of disorientation. Failure means the creature is subject to a <i>suggestion</i> implanted in the script by you at the time the <i>illusory script</i> spell was cast. The <i>suggestion</i> lasts only 30 minutes. Typical <i>suggestion</i>s include ""Close the book and leave,"" ""Forget the existence of this note,"" and so forth. If successfully dispelled by <i>dispel magic,</i> the <i>illusory script</i> and its secret message disappear.</p><p>The hidden message can be read by a combination of the <i>true seeing</i> spell with the <i>read magic</i> or <i>comprehend languages</i> spell.</p></h4></div>",Only select creatures can read text.
Illusory Wall,illusion,figment,,"sorcerer/wizard 4, occultist 4, psychic 4, mesmerist 4",1 standard action,"V, S",close (25 ft. + 5 ft./2 levels),,image 1 ft. by 10 ft. by 10 ft.,,permanent,Will disbelief (if interacted with),no,"<p>This spell creates the illusion of a wall, floor, ceiling, or similar surface. It appears absolutely real when viewed, but physical objects can pass through it without difficulty. When the spell is used to hide pits, traps, or normal doors, any detection abilities that do not require sight work normally. Touch or a probing search reveals the true nature of the surface, though such measures do not cause the illusion to disappear. Although the caster can see through his <i>illusory wall</i>, other creatures cannot, even if they succeed at their will save (but they do learn that it is not real).</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Illusory Wall</p><div style=""clear: both;""></div></div><div><h5><b>School </b>illusion (figment); <b>Level </b>sorcerer/wizard 4, occultist 4, psychic 4, mesmerist 4</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/><div><h5><b>Casting Time </b>1 standard action</h5><h5><b>Components </b>V, S</h5></div><hr/><div><h5><b>EFFECT</b></h5></div><hr/><div><h5><b>Range </b>close (25 ft. + 5 ft./2 levels)</h5><h5><b>Effect </b>image 1 ft. by 10 ft. by 10 ft.</h5><h5><b>Duration </b>permanent</h5><h5><b>Saving Throw </b>Will disbelief (if interacted with); <b>Spell Resistance </b>no</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>This spell creates the illusion of a wall, floor, ceiling, or similar surface. It appears absolutely real when viewed, but physical objects can pass through it without difficulty. When the spell is used to hide pits, traps, or normal doors, any detection abilities that do not require sight work normally. Touch or a probing search reveals the true nature of the surface, though such measures do not cause the illusion to disappear. Although the caster can see through his <i>illusory wall</i>, other creatures cannot, even if they succeed at their will save (but they do learn that it is not real).</p></h4></div>"," Wall, floor, or ceiling looks real, but anything can pass through."
Imbue with Spell Ability,evocation,,,"cleric/oracle 4, shaman 4, spiritualist 4",10 minutes,"V, S, DF",touch,,,creature touched; see text,permanent until discharged,Will negates (harmless),yes (harmless),"<p>You transfer some of your currently prepared spells, and the ability to cast them, to another creature. Only a creature with an Intelligence score of at least 5 and a Wisdom score of at least 9 can receive this boon. Only cleric spells from the schools of abjuration, divination, and conjuration (healing) can be transferred. The number and level of spells that the subject can be granted depends on its Hit Dice; even multiple castings of <i>imbue with spell ability</i> can't exceed this limit.</p><p> <table><tr><th>HD of recipient</th><th>Spells imbued</th></tr><tr><td>2 or lower</td><td>One 1st-level spell</td></tr><tr><td>3-4</td><td>One or two 1st-level spells</td></tr><tr><td>5 or higher</td><td>One or two 1st-level spells and one 2nd-level spell</td></tr></table>  The transferred spell's variable characteristics (range, duration, area, and the like) function according to your level, not the level of the recipient.</p><p>Once you cast <i>imbue with spell ability</i>, you cannot prepare a new 4th-level spell to replace it until the recipient uses the imbued spells or is slain, or until you dismiss the <i>imbue with spell ability</i> spell. In the meantime, you remain responsible to your deity or your principles for the use to which the spell is put. If the number of 4th-level spells you can cast decreases, and that number drops below your current number of active <i>imbue with spell ability</i> spells, the more recently cast imbued spells are dispelled.</p><p>To cast a spell with a verbal component, the subject must be able to speak. To cast a spell with a somatic component, it must be able to move freely. To cast a spell with a material component or focus, it must have the materials or focus.</p>",PFRPG Core,"<link rel=""stylesheet""href=""PF.css""><div class=""heading""><p class=""alignleft"">Imbue with Spell Ability</p><div style=""clear: both;""></div></div><div><h5><b>School </b>evocation; <b>Level </b>cleric/oracle 4, shaman 4, spiritualist 4</h5></div><hr/><div><h5><b>CASTING</b></h5></div><hr/><div><h5><b>Casting Time </b>10 minutes</h5><h5><b>Components </b>V, S, DF</h5></div><hr/><div><h5><b>EFFECT</b></h5></div><hr/><div><h5><b>Range </b>touch</h5><h5><b>Targets </b>creature touched; see text</h5><h5><b>Duration </b>permanent until discharged (D)</h5><h5><b>Saving Throw </b>Will negates (harmless); <b>Spell Resistance </b>yes (harmless)</h5></div><hr/><div><h5><b>DESCRIPTION</b></h5></div><hr/><div><h4><p>You transfer some of your currently prepared spells, and the ability to cast them, to another creature. Only a creature with an Intelligence score of at least 5 and a Wisdom score of at least 9 can receive this boon. Only cleric spells from the schools of abjuration, divination, and conjuration (healing) can be transferred. The number and level of spells that the subject can be granted depends on its Hit Dice; even multiple castings of <i>imbue with spell ability</i> can't exceed this limit.</p><p> <table border = '1'><tr><th>HD of recipient</th><th>Spells imbued</th></tr><tr><td>2 or lower</td><td>One 1st-level spell</td></tr><tr><td>3-4</td><td>One or two 1st-level spells</td></tr><tr><td>5 or higher</td><td>One or two 1st-level spells and one 2nd-level spell</td></tr></table>  The transferred spell's variable characteristics (range, duration, area, and the like) function according to your level, not the level of the recipient.</p><p>Once you cast <i>imbue with spell ability</i>, you cannot prepare a new 4th-level spell to replace it until the recipient uses the imbued spells or is slain, or until you dismiss the <i>imbue with spell ability</i> spell. In the meantime, you remain responsible to your deity or your principles for the use to which the spell is put. If the number of 4th-level spells you can cast decreases, and that number drops below your current number of active <i>imbue with spell ability</i> spells, the more recently cast imbued spells are dispelled.</p><p>To cast a spell with a verbal component, the subject must be able to speak. To cast a spell with a somatic component, it must be able to move freely. To cast a spell with a material component or focus, it must have the materials or focus.</p></h4></div>", Transfer spells to subject.
