spellName,school,subschool,descriptor,spellLevel,castTime,spellComponents,range,area,effect,target,duration,savingThrow,spellResistance,description,reference,domain,shortDescription,materialComponents
Storm Of Vengeance,conjuration,summoning,,"cleric/oracle 9, druid 9, witch 9, shaman 9",1 round,"V, S",long (400 ft. + 40 ft./level),,360-ft.-radius storm cloud,,concentration (maximum 10 rounds) (D),see text,yes,"&lt;p&gt;You create a huge black storm cloud in the air. Each creature under the cloud must succeed on a Fortitude save or be deafened for 1d4 x 10 minutes. Each round you continue to concentrate, the spell generates additional effects as noted below. Each effect occurs on your turn.&lt;/p&gt;&lt;p&gt;&lt;i&gt;2nd Round&lt;/i&gt;: Acid rains down in the area, dealing 1d6 points of acid damage (no save).&lt;/p&gt;&lt;p&gt;&lt;i&gt;3rd Round&lt;/i&gt;: You call six bolts of lightning down from the cloud.&lt;/p&gt;&lt;p&gt;You decide where the bolts strike. No two bolts may be directed at the same target. Each bolt deals 10d6 points of electricity damage. A creature struck can attempt a Reflex save for half damage.&lt;/p&gt;&lt;p&gt;&lt;i&gt;4th Round&lt;/i&gt;: Hailstones rain down in the area, dealing 5d6 points of bludgeoning damage (no save).&lt;/p&gt;&lt;p&gt;&lt;i&gt;5th through 10th Rounds&lt;/i&gt;: Violent rain and wind gusts reduce visibility. The rain obscures all sight, including darkvision, beyond 5 feet. A creature 5 feet away has concealment (attacks have a 20% miss chance). Creatures farther away have total concealment (50% miss chance, and the attacker cannot use sight to locate the target). Speed is reduced by three-quarters.&lt;/p&gt;&lt;p&gt;Ranged attacks within the area of the storm are impossible. Spells cast within the area are disrupted unless the caster succeeds on a Concentration check against a DC equal to the &lt;i&gt;storm of&lt;/i&gt; vengeance&apos;s save DC + the level of the spell the caster is trying to cast.&lt;/p&gt;",PFRPG Core,"Cloud (9), Nobility (9), Weather (9)","Storm rains acid, lightning, and hail.",NULL
Suggestion,enchantment,compulsion,"language-dependent, mind-affecting","bard 2, sorcerer/wizard 3, witch 3, occultist 3, psychic 2, mesmerist 2, medium 2",1 standard action,"V, M (a snake&apos;s tongue and a honeycomb)",close (25 ft. + 5 ft./2 levels),,,one living creature,1 hour/level or until completed,Will negates,yes,"&lt;p&gt;You influence the actions of the target creature by suggesting a course of activity (limited to a sentence or two). The &lt;i&gt;suggestion&lt;/i&gt; must be worded in such a manner as to make the activity sound reasonable. Asking the creature to do some obviously harmful act automatically negates the effect of the spell.&lt;/p&gt;&lt;p&gt;The suggested course of activity can continue for the entire duration. If the suggested activity can be completed in a shorter time, the spell ends when the subject finishes what it was asked to do. You can instead specify conditions that will trigger a special activity during the duration. If the condition is not met before the spell duration expires, the activity is not performed.&lt;/p&gt;&lt;p&gt;A very reasonable &lt;i&gt;suggestion&lt;/i&gt; causes the save to be made with a penalty (such as -1 or -2).&lt;/p&gt;",PFRPG Core,"Charm (3), Devil (3), Corruption (2), Innuendo (3)",Compels subject to follow stated course of action.,NULL
"Suggestion, Mass",enchantment,compulsion,"language-dependent, mind-affecting","bard 5, sorcerer/wizard 6, witch 6, occultist 5, psychic 5, mesmerist 5",1 standard action,"V, M (a snake&apos;s tongue and a honeycomb)",medium (100 ft. + 10 ft./level),,,"one creature/level, no two of which can be more than 30 ft. apart",1 hour/level or until completed,Will negates,yes,"&lt;p&gt;This spell functions like &lt;i&gt;&lt;i&gt;suggestion&lt;/i&gt;,&lt;/i&gt; except that it can affect more creatures. The same &lt;i&gt;suggestion&lt;/i&gt; applies to all these creatures.&lt;/p&gt;",PFRPG Core,Innuendo (6),"As suggestion, affects subject/level.",NULL
Summon Instrument,conjuration,summoning,,bard 0,1 round,"V, S",0 ft.,,one summoned handheld musical instrument,,1 min./level,none,no,"&lt;p&gt;This spell summons one handheld musical instrument of your choice. This instrument appears in your hands or at your feet (your choice). The instrument is typical for its type. Only one instrument appears per casting, and it will play only for you. You can&apos;t summon an instrument too large to be held in two hands.&lt;/p&gt;&lt;p&gt;The summoned instrument disappears at the end of this spell.&lt;/p&gt;",PFRPG Core,,Summons one musical instrument.,NULL
Summon Monster I,conjuration,summoning,see text,"bard 1, cleric/oracle 1, sorcerer/wizard 1, summoner/unchained summoner 1, witch 1, antipaladin 1, psychic 1, spiritualist 1, medium 1",1 round,"V, S, F/DF (a tiny bag and a small candle)",close (25 ft. + 5 ft./2 levels),,one summoned creature,,1 round/level,none,no,"&lt;p&gt;This spell summons an extraplanar creature (typically an outsider, elemental, or magical beast native to another plane). It appears where you designate and acts immediately, on your turn. It attacks your opponents to the best of its ability. If you can communicate with the creature, you can direct it not to attack, to attack particular enemies, or to perform other actions. The spell conjures one of the creatures from the 1st &lt;b&gt;Level&lt;/b&gt; list on Table 10-1. You choose which kind of creature to summon, and you can choose a different one each time you cast the spell.&lt;/p&gt;&lt;p&gt;A summoned monster cannot summon or otherwise conjure another creature, nor can it use any teleportation or planar travel abilities. Creatures cannot be summoned into an environment that cannot support them. Creatures summoned using this spell cannot use spells or spell-like abilities that duplicate spells with expensive material components (such as &lt;i&gt;wish).&lt;/i&gt;&lt;/p&gt;&lt;p&gt;When you use a summoning spell to summon a creature with an alignment or elemental subtype, it is a spell of that type. Creatures on Table 10-1 marked with an * are summoned with the celestial template, if you are good, and the fiendish template, if you are evil. If you are neutral, you may choose which template to apply to the creature. Creatures marked with an * always have an alignment that matches yours, regardless of their usual alignment.&lt;/p&gt;&lt;p&gt;Summoning these creatures makes the summoning spell&apos;s type match your alignment.&lt;/p&gt;",PFRPG Core,,(Evil creatures only.) Summons extraplanar creature to fight for you.,NULL
Summon Monster II,conjuration,summoning,,"bard 2, cleric/oracle 2, sorcerer/wizard 2, summoner/unchained summoner 2, witch 2, antipaladin 2, psychic 2, spiritualist 2, medium 2",1 round,"V, S, F/DF (a tiny bag and a small candle)",close (25 ft. + 5 ft./2 levels),,one summoned creature,,1 round/level,none,no,"&lt;p&gt;This spell functions like &lt;i&gt;summon monster I,&lt;/i&gt; except that you can summon one creature from the 2nd-level list or 1d3 creatures of the same kind from the 1st-level list.&lt;/p&gt;",PFRPG Core,Dark Tapestry (2),(Evil creatures only.) Summons extraplanar creature to fight for you.,NULL
Summon Monster III,conjuration,summoning,,"bard 3, cleric/oracle 3, sorcerer/wizard 3, witch 3, antipaladin 3, psychic 3, spiritualist 3",1 round,"V, S, F/DF (a tiny bag and a small candle)",close (25 ft. + 5 ft./2 levels),,one summoned creature,,1 round/level,none,no,"&lt;p&gt;This spell functions like &lt;i&gt;summon monster I,&lt;/i&gt; except that you can summon one creature from the 3rd-level list, 1d3 creatures of the same kind from the 2nd-level list, or 1d4+1 creatures of the same kind from the 1st-level list.&lt;/p&gt;",PFRPG Core,,(Evil creatures only.) Summons extraplanar creature to fight for you.,NULL
Summon Monster IV,conjuration,summoning,,"bard 4, cleric/oracle 4, sorcerer/wizard 4, summoner/unchained summoner 3, witch 4, antipaladin 4, psychic 4, spiritualist 4, medium 3",1 round,"V, S, F/DF (a tiny bag and a small candle)",close (25 ft. + 5 ft./2 levels),,one summoned creature,,1 round/level,none,no,"&lt;p&gt;This spell functions like &lt;i&gt;summon monster I,&lt;/i&gt; except that you can summon one creature from the 4th-level list, 1d3 creatures of the same kind from the 3rd-level list, or 1d4+1 creatures of the same kind from a lower-level list.&lt;/p&gt;",PFRPG Core,Dark Tapestry (5),(Evil creatures only.) Summons extraplanar creature to fight for you.,NULL
Summon Monster V,conjuration,summoning,,"bard 5, cleric/oracle 5, sorcerer/wizard 5, summoner/unchained summoner 4, witch 5, psychic 5, spiritualist 5, medium 4",1 round,"V, S, F/DF (a tiny bag and a small candle)",close (25 ft. + 5 ft./2 levels),,one summoned creature,,1 round/level,none,no,"&lt;p&gt;This spell functions like &lt;i&gt;summon monster I,&lt;/i&gt; except that you can summon one creature from the 5th-level list, 1d3 creatures of the same kind from the 4th-level list, or 1d4+1 creatures of the same kind from a lower-level list.&lt;/p&gt;",PFRPG Core,Darkness (5),Summons extraplanar creature to fight for you.,NULL
Summon Monster VI,conjuration,summoning,,"bard 6, cleric/oracle 6, sorcerer/wizard 6, witch 6, psychic 6, spiritualist 6, unchained summoner 5",1 round,"V, S, F/DF (a tiny bag and a small candle)",close (25 ft. + 5 ft./2 levels),,one summoned creature,,1 round/level,none,no,"&lt;p&gt;This spell functions like &lt;i&gt;summon monster I,&lt;/i&gt; except you can summon one creature from the 6th-level list, 1d3 creatures of the same kind from the 5th-level list, or 1d4+1 creatures of the same kind from a lower-level list.&lt;/p&gt;",PFRPG Core,,Summons extraplanar creature to fight for you.,NULL
Summon Monster VIII,conjuration,summoning,,"cleric/oracle 8, sorcerer/wizard 8, witch 8, summoner/unchained summoner 6, psychic 8",1 round,"V, S, F/DF (a tiny bag and a small candle)",close (25 ft. + 5 ft./2 levels),,one summoned creature,,1 round/level,none,no,"&lt;p&gt;This spell functions like &lt;i&gt;summon monster I,&lt;/i&gt; except that you can summon one creature from the 8th-level list, 1d3 creatures of the same kind from the 7th-level list, or 1d4+1 creatures of the same kind from a lower-level list.&lt;/p&gt;",PFRPG Core,,Summons extraplanar creature to fight for you.,NULL
Summon Monster VII,conjuration,summoning,,"cleric/oracle 7, sorcerer/wizard 7, summoner 5, witch 7, psychic 7, unchained summoner 6",1 round,"V, S, F/DF (a tiny bag and a small candle)",close (25 ft. + 5 ft./2 levels),,one summoned creature,,1 round/level,none,no,"&lt;p&gt;This spell functions like &lt;i&gt;summon monster I,&lt;/i&gt; except that you can summon one creature from the 7th-level list, 1d3 creatures of the same kind from the 6th-level list, or 1d4+1 creatures of the same kind from a lower-level list.&lt;/p&gt;",PFRPG Core,,Summons extraplanar creature to fight for you.,NULL
Summon Monster IX,conjuration,summoning,,"cleric/oracle 9, sorcerer/wizard 9, witch 9, psychic 9",1 round,"V, S, F/DF (a tiny bag and a small candle)",close (25 ft. + 5 ft./2 levels),,one summoned creature,,1 round/level,none,no,"&lt;p&gt;This spell functions like &lt;i&gt;summon monster I,&lt;/i&gt; except that you can summon one creature from the 9th-level list, 1d3 creatures of the same kind from the 8th-level list, or 1d4+1 creatures of the same kind from a lower-level list.&lt;/p&gt;",PFRPG Core,"Chaos (9), Evil (9), Good (9), Law (9)",Summons extraplanar creature to fight for you.,NULL
Summon Nature&apos;s Ally I,conjuration,summoning,,"druid 1, ranger 1",1 round,"V, S, DF",close (25 ft. + 5 ft./2 levels),,one summoned creature,,1 round/level,none,no,"&lt;p&gt;This spell summons to your side a natural creature (typically an animal, fey, magical beast, outsider with the elemental subtype, or a giant). The summoned ally appears where you designate and acts immediately, on your turn. It attacks your opponents to the best of its ability. If you can communicate with the creature, you can direct it not to attack, to attack particular enemies, or to perform other actions as you command.&lt;/p&gt;&lt;p&gt;A summoned monster cannot summon or otherwise conjure another creature, nor can it use any teleportation or planar travel abilities. Creatures cannot be summoned into an environment that cannot support them. Creatures summoned using this spell cannot use spells or spell-like abilities that duplicate spells that have expensive material components (such as &lt;i&gt;wish&lt;/i&gt;).&lt;/p&gt;&lt;p&gt;The spell conjures one of the creatures from the 1st Level list on Table 10-2. You choose which kind of creature to summon, and you can change that choice each time you cast the spell. All the creatures on the table are neutral unless otherwise noted.&lt;/p&gt;&lt;p&gt;When you use a summoning spell to summon a creature with an alignment or elemental subtype, it is a spell of that type. All creatures summoned with this spell without alignment subtypes have an alignment that matches yours, regardless of their usual alignment. Summoning these creatures makes the summoning spell&apos;s type match your alignment.&lt;/p&gt;",PFRPG Core,,Summons creature to fight.,NULL
Summon Nature&apos;s Ally II,conjuration,summoning,,"druid 2, ranger 2",1 round,"V, S, DF",close (25 ft. + 5 ft./2 levels),,one summoned creature,,1 round/level,none,no,"&lt;p&gt;This spell functions as summon &lt;i&gt;nature&apos;s ally I&lt;/i&gt;, except that you summon one 2nd-level creature or 1d3 1st-level creatures of the same kind.&lt;/p&gt;",PFRPG Core,,Summons creature to fight.,NULL
Summon Nature&apos;s Ally III,conjuration,summoning,see text,"druid 3, ranger 3",1 round,"V, S, DF",close (25 ft. + 5 ft./2 levels),,one summoned creature,,1 round/level,none,no,"&lt;p&gt;This spell functions like &lt;i&gt;summon nature&apos;s ally I&lt;/i&gt;, except that you can summon one 3rd-level creature, 1d3 2nd-level creatures of the same kind, or 1d4+1 1st-level creatures of the same kind.&lt;/p&gt;",PFRPG Core,,Summons creature to fight.,NULL
Summon Nature&apos;s Ally IV,conjuration,summoning,see text,"druid 4, ranger 4",1 round,"V, S, DF",close (25 ft. + 5 ft./2 levels),,one summoned creature,,1 round/level,none,no,"&lt;p&gt;This spell functions like &lt;i&gt;summon nature&apos;s ally I&lt;/i&gt;, except that you can summon one 4th-level creature, 1d3 3rd-level creatures of the same kind, or 1d4+1 lower-level creatures of the same kind.&lt;/p&gt;",PFRPG Core,"Animal (4), Saurian (4)",Summons creature to fight.,NULL
Summon Nature&apos;s Ally V,conjuration,summoning,see text,druid 5,1 round,"V, S, DF",close (25 ft. + 5 ft./2 levels),,one summoned creature,,1 round/level,none,no,"&lt;p&gt;This spell functions like &lt;i&gt;summon nature&apos;s ally I&lt;/i&gt;, except that you can summon one 5th-level creature, 1d3 4th-level creatures of the same kind, or 1d4+1 lower-level creatures of the same kind.&lt;/p&gt;",PFRPG Core,,Summons creature to fight.,NULL
Summon Nature&apos;s Ally VI,conjuration,summoning,see text,druid 6,1 round,"V, S, DF",close (25 ft. + 5 ft./2 levels),,one summoned creature,,1 round/level,none,no,"&lt;p&gt;This spell functions like &lt;i&gt;summon nature&apos;s ally I&lt;/i&gt;, except that you can summon one 6th-level creature, 1d3 5th-level creatures of the same kind, or 1d4+1 lower-level creatures of the same kind.&lt;/p&gt;",PFRPG Core,,Summons creature to fight.,NULL
Summon Nature&apos;s Ally VII,conjuration,summoning,see text,druid 7,1 round,"V, S, DF",close (25 ft. + 5 ft./2 levels),,one summoned creature,,1 round/level,none,no,"&lt;p&gt;This spell functions like &lt;i&gt;summon nature&apos;s ally I&lt;/i&gt;, except that you can summon one 7th-level creature, 1d3 6th-level creatures of the same kind, or 1d4+1 lower-level creatures of the same kind.&lt;/p&gt;",PFRPG Core,Saurian (7),Summons creature to fight.,NULL
Summon Nature&apos;s Ally VIII,conjuration,summoning,see text,druid 8,1 round,"V, S, DF",close (25 ft. + 5 ft./2 levels),,one summoned creature,,1 round/level,none,no,"&lt;p&gt;This spell functions like &lt;i&gt;summon nature&apos;s ally I&lt;/i&gt;, except that you can summon one 8th-level creature, 1d3 7th-level creatures of the same kind, or 1d4+1 lower-level creatures of the same kind.&lt;/p&gt;",PFRPG Core,Animal (8),Summons creature to fight.,NULL
Summon Nature&apos;s Ally IX,conjuration,summoning,see text,druid 9,1 round,"V, S, DF",close (25 ft. + 5 ft./2 levels),,one summoned creature,,1 round/level,none,no,"&lt;p&gt;This spell functions like &lt;i&gt;summon nature&apos;s ally I&lt;/i&gt;, except that you can summon one 9th-level creature, 1d3 8th-level creatures of the same kind, or 1d4+1 lower-level creatures of the same kind.&lt;/p&gt;",PFRPG Core,,Summons creature to fight.,NULL
Summon Swarm,conjuration,summoning,,"bard 2, druid 2, sorcerer/wizard 2, summoner/unchained summoner 2, witch 2, shaman 2",1 round,"V, S, M/DF (a square of red cloth)",close (25 ft. + 5 ft./2 levels),,"one swarm of bats, rats, or spiders",,concentration + 2 rounds,none,no,"&lt;p&gt;You summon a swarm of bats, rats, or spiders (your choice), which attacks all other creatures within its area. (You may summon the swarm so that it shares the area of other creatures.) If no living creatures are within its area, the swarm attacks or pursues the nearest creature as best it can. The caster has no control over its target or direction of travel.&lt;/p&gt;",PFRPG Core,,"Summons swarm of bats, rats, or spiders.",NULL
Sunbeam,evocation,,light,"druid 7, shaman 7",1 standard action,"V, S, DF",60 ft.,line from your hand,,,1 round/level or until all beams are exhausted,Reflex negates and Reflex half; see text,yes,"&lt;p&gt;For the duration of this spell, you can use a standard action to evoke a dazzling beam of intense light each round. You can call forth one beam per three caster levels (maximum six beams at 18th level). The spell ends when its duration runs out or your allotment of beams is exhausted.&lt;/p&gt;&lt;p&gt;Each creature in the beam is blinded and takes 4d6 points of damage. Any creatures to which sunlight is harmful or unnatural take double damage. A successful Reflex save negates the blindness and reduces the damage by half.&lt;/p&gt;&lt;p&gt;An undead creature caught within the beam takes 1d6 points of damage per caster level (maximum 20d6), or half damage if a Reflex save is successful. In addition, the beam results in the destruction of any undead creature specifically harmed by bright light if it fails its save.&lt;/p&gt;&lt;p&gt;The ultraviolet light generated by the spell deals damage to fungi, mold, oozes, and slimes just as if they were undead creatures.&lt;/p&gt;",PFRPG Core,"Sun (7), Stars (7)",Beam blinds and deals 4d6 damage.,NULL
Sunburst,evocation,,light,"druid 8, sorcerer/wizard 8, shaman 8",1 standard action,"V, S, M/DF (sunstone and fire source)",long (400 ft. + 40 ft./level),80-ft.-radius burst,,,instantaneous,Reflex partial; see text,yes,"&lt;p&gt;&lt;i&gt;Sunburst&lt;/i&gt; causes a globe of searing radiance to explode silently from a point you select. All creatures in the globe are blinded and take 6d6 points of damage. A creature to which sunlight is harmful or unnatural takes double damage. A successful Reflex save negates the blindness and reduces the damage by half.&lt;/p&gt;&lt;p&gt;An undead creature caught within the globe takes 1d6 points of damage per caster level (maximum 25d6), or half damage if a Reflex save is successful. In addition, the burst results in the destruction of any undead creature specifically harmed by bright light if it fails its save.&lt;/p&gt;&lt;p&gt;The ultraviolet light generated by the spell deals damage to fungi, mold, oozes, and slimes just as if they were undead creatures.&lt;/p&gt;&lt;p&gt;&lt;i&gt;Sunburst&lt;/i&gt; dispels any darkness spells of lower than 9th level within its area.&lt;/p&gt;",PFRPG Core,"Seasons (8), Sun (8)","Blinds all within 10 ft., deals 6d6 damage.",NULL
Symbol of Death,necromancy,,death,"cleric/oracle 8, sorcerer/wizard 8, witch 8, occultist 6",10 minutes,"V, S, M (mercury and phosphorus, plus powdered diamond and opal worth 5,000 gp each)",0 ft.; see text,,one symbol,,see text,Fortitude negates,yes,"&lt;p&gt;This spell allows you to scribe a potent rune of power upon a surface.&lt;/p&gt;&lt;p&gt;When triggered, a &lt;i&gt;&lt;i&gt;symbol&lt;/i&gt; of &lt;i&gt;death&lt;/i&gt;&lt;/i&gt; kills one or more creatures within 60 feet of the &lt;i&gt;symbol&lt;/i&gt; (treat as a burst) whose combined total current hit points do not exceed 150. The &lt;i&gt;&lt;i&gt;symbol&lt;/i&gt; of &lt;i&gt;death&lt;/i&gt;&lt;/i&gt; affects the closest creatures first, skipping creatures with too many hit points to affect.&lt;/p&gt;&lt;p&gt;Once triggered, the &lt;i&gt;symbol&lt;/i&gt; becomes active and glows, lasting for 10 minutes per caster level or until it has affected 150 hit points&apos; worth of creatures, whichever comes first. A creature that enters the area while the &lt;i&gt;&lt;i&gt;symbol&lt;/i&gt; of &lt;i&gt;death&lt;/i&gt;&lt;/i&gt; is active is subject to its effect, whether or not that creature was in the area when it was triggered. A creature need save against the &lt;i&gt;symbol&lt;/i&gt; only once as long as it remains within the area, though if it leaves the area and returns while the &lt;i&gt;symbol&lt;/i&gt; is still active, it must save again.&lt;/p&gt;&lt;p&gt;Until it is triggered, the &lt;i&gt;&lt;i&gt;symbol&lt;/i&gt; of &lt;i&gt;death&lt;/i&gt;&lt;/i&gt; is inactive (though visible and legible at a distance of 60 feet). To be effective, a &lt;i&gt;&lt;i&gt;symbol&lt;/i&gt; of &lt;i&gt;death&lt;/i&gt;&lt;/i&gt; must always be placed in plain sight and in a prominent location. Covering or hiding the rune renders the &lt;i&gt;&lt;i&gt;symbol&lt;/i&gt; of &lt;i&gt;death&lt;/i&gt;&lt;/i&gt; ineffective, unless a creature removes the covering, in which case the &lt;i&gt;&lt;i&gt;symbol&lt;/i&gt; of &lt;i&gt;death&lt;/i&gt;&lt;/i&gt; works normally.&lt;/p&gt;&lt;p&gt;As a default, a &lt;i&gt;&lt;i&gt;symbol&lt;/i&gt; of &lt;i&gt;death&lt;/i&gt;&lt;/i&gt; is triggered whenever a creature does one or more of the following, as you select: looks at the rune; reads the rune; touches the rune; passes over the rune; or passes through a portal bearing the rune. Regardless of the trigger method or methods chosen, a creature more than 60 feet from a &lt;i&gt;&lt;i&gt;symbol&lt;/i&gt; of &lt;i&gt;death&lt;/i&gt;&lt;/i&gt; can&apos;t trigger it (even if it meets one or more of the triggering conditions, such as reading the rune). Once the spell is cast, a &lt;i&gt;&lt;i&gt;symbol&lt;/i&gt; of &lt;i&gt;death&lt;/i&gt;&lt;/i&gt;&apos;s triggering conditions cannot be changed.&lt;/p&gt;&lt;p&gt;In this case, reading the rune means any attempt to study it, identify it, or fathom its meaning. Throwing a cover over a &lt;i&gt;&lt;i&gt;symbol&lt;/i&gt; of &lt;i&gt;death&lt;/i&gt;&lt;/i&gt; to render it inoperative triggers it if the &lt;i&gt;symbol&lt;/i&gt; reacts to touch. You can&apos;t use a &lt;i&gt;&lt;i&gt;symbol&lt;/i&gt; of &lt;i&gt;death&lt;/i&gt;&lt;/i&gt; offensively; for instance, a touch-triggered &lt;i&gt;&lt;i&gt;symbol&lt;/i&gt; of &lt;i&gt;death&lt;/i&gt;&lt;/i&gt; remains untriggered if an item bearing the &lt;i&gt;&lt;i&gt;symbol&lt;/i&gt; of &lt;i&gt;death&lt;/i&gt;&lt;/i&gt; is used to touch a creature. Likewise, a &lt;i&gt;&lt;i&gt;symbol&lt;/i&gt; of &lt;i&gt;death&lt;/i&gt;&lt;/i&gt; cannot be placed on a weapon and set to activate when the weapon strikes a foe.&lt;/p&gt;&lt;p&gt;You can also set special triggering limitations of your own. These can be as simple or elaborate as you desire. Special conditions for triggering a &lt;i&gt;&lt;i&gt;symbol&lt;/i&gt; of &lt;i&gt;death&lt;/i&gt;&lt;/i&gt; can be based on a creature&apos;s name, identity, or alignment, but otherwise must be based on observable actions or qualities. Intangibles such as level, class, HD, and hit points don&apos;t qualify.&lt;/p&gt;&lt;p&gt;When scribing a &lt;i&gt;&lt;i&gt;symbol&lt;/i&gt; of &lt;i&gt;death&lt;/i&gt;&lt;/i&gt;, you can specify a password or phrase that prevents a creature using it from triggering the &lt;i&gt;symbol&lt;/i&gt;&apos;s effect. Anyone using the password remains immune to that particular rune&apos;s effects so long as the creature remains within 60 feet of the rune. If the creature leaves the radius and returns later, it must use the password again.&lt;/p&gt;&lt;p&gt;You also can attune any number of creatures to the &lt;i&gt;&lt;i&gt;symbol&lt;/i&gt; of &lt;i&gt;death&lt;/i&gt;&lt;/i&gt;, but doing this can extend the casting time. Attuning one or two creatures takes negligible time, and attuning a small group (as many as 10 creatures) extends the casting time to 1 hour. Attuning a large group (as many as 25 creatures) takes 24 hours. Attuning larger groups takes an additional 24 hours per 25 creatures. Any creature attuned to a &lt;i&gt;&lt;i&gt;symbol&lt;/i&gt; of &lt;i&gt;death&lt;/i&gt;&lt;/i&gt; cannot trigger it and is immune to its effects, even if within its radius when it is triggered. You are automatically considered attuned to your own &lt;i&gt;symbol&lt;/i&gt;s of &lt;i&gt;&lt;i&gt;death&lt;/i&gt;,&lt;/i&gt; and thus always ignore the effects and cannot inadvertently trigger them.&lt;/p&gt;&lt;p&gt;&lt;i&gt;Read magic&lt;/i&gt; allows you to identify a &lt;i&gt;symbol&lt;/i&gt; with a Spellcraft check (DC 10 + the &lt;i&gt;symbol&lt;/i&gt;&apos;s spell level). Of course, if the &lt;i&gt;symbol&lt;/i&gt; is set to be triggered by reading it, this will trigger the &lt;i&gt;symbol&lt;/i&gt;.&lt;/p&gt;&lt;p&gt;A &lt;i&gt;&lt;i&gt;symbol&lt;/i&gt; of &lt;i&gt;death&lt;/i&gt;&lt;/i&gt; can be removed by a successful &lt;i&gt;dispel magic&lt;/i&gt; targeted solely on the rune. An &lt;i&gt;erase&lt;/i&gt; spell has no effect on a &lt;i&gt;&lt;i&gt;symbol&lt;/i&gt; of &lt;i&gt;death&lt;/i&gt;&lt;/i&gt;. Destruction of the surface where a &lt;i&gt;&lt;i&gt;symbol&lt;/i&gt; of &lt;i&gt;death&lt;/i&gt;&lt;/i&gt; is inscribed destroys the &lt;i&gt;symbol&lt;/i&gt; but also triggers it.&lt;/p&gt;&lt;p&gt;&lt;i&gt;Symbol of &lt;i&gt;death&lt;/i&gt;&lt;/i&gt; can be made permanent with a &lt;i&gt;permanency&lt;/i&gt; spell.&lt;/p&gt;&lt;p&gt;A permanent &lt;i&gt;&lt;i&gt;symbol&lt;/i&gt; of &lt;i&gt;death&lt;/i&gt;&lt;/i&gt; that is disabled or has affected its maximum number of hit points becomes inactive for 10 minutes, but then can be triggered again as normal.&lt;/p&gt;&lt;p&gt;&lt;i&gt;Note:&lt;/i&gt; Magic traps such as &lt;i&gt;&lt;i&gt;symbol&lt;/i&gt; of &lt;i&gt;death&lt;/i&gt;&lt;/i&gt; are hard to detect and disable. A rogue (only) can use the Perception skill to find a &lt;i&gt;&lt;i&gt;symbol&lt;/i&gt; of &lt;i&gt;death&lt;/i&gt;&lt;/i&gt; and Disable Device to thwart it. The DC in each case is 25 + spell level, or 33 for &lt;i&gt;&lt;i&gt;symbol&lt;/i&gt; of &lt;i&gt;death&lt;/i&gt;&lt;/i&gt;.&lt;/p&gt;",PFRPG Core,Rune (8),Triggered rune kills nearby creatures.,5000
Symbol of Fear,necromancy,,"fear, mind-affecting, emotion","cleric/oracle 6, sorcerer/wizard 6, witch 6, occultist 4",10 minutes,"V, S, M (mercury and phosphorus, plus powdered diamond and opal worth a total of 1,000 gp)",0 ft.; see text,,one symbol,,see text,Will negates,yes,"&lt;p&gt;This spell functions like &lt;i&gt;&lt;i&gt;symbol of&lt;/i&gt; death&lt;/i&gt;, except that all creatures within 60 feet of the &lt;i&gt;&lt;i&gt;symbol of&lt;/i&gt; &lt;i&gt;fear&lt;/i&gt;&lt;/i&gt; instead become panicked for 1 round per caster level.&lt;/p&gt;&lt;p&gt;&lt;i&gt;Note:&lt;/i&gt; Magic traps such as &lt;i&gt;&lt;i&gt;symbol of&lt;/i&gt; &lt;i&gt;fear&lt;/i&gt;&lt;/i&gt; are hard to detect and disable. A rogue (only) can use the Perception skill to find a &lt;i&gt;&lt;i&gt;symbol of&lt;/i&gt; &lt;i&gt;fear&lt;/i&gt;&lt;/i&gt; and Disable Device to thwart it. The DC in each case is 25 + spell level, or 31 for &lt;i&gt;&lt;i&gt;symbol of&lt;/i&gt; &lt;i&gt;fear&lt;/i&gt;&lt;/i&gt;.&lt;/p&gt;",PFRPG Core,,Triggered rune panics nearby creatures.,1000
